Code,Title,Brand,Model,Price,Category
2155627,"""Lava e Seca LG 14kg Top Gun""","""lg""","""12 Programas de Lavagem""",None,ed
2190593,"""Lava e Seca Panasonic 12kg NA-S128F2WBZ""","""panasonic""","""13 Programas de Lavagem Água Quente""",None,ed
2190395,"""Lava e Seca Samsung 10,2Kg AddWash  ""","""samsung""","""WD10K6410OX/AZ 14 Programas de Lavagem""",None,ed
5433472,"""Lavadora e Secadora de Roupas Samsung 10,2 Kg WD10 Ecobuble Branca 220V""","""Samsung""","""""",None,ed
7411240,"""Lava e Seca 15KG Top Load LSW15 - Electrolux""","""Electrolux""","""""",None,ed
6133028,"""Lava e Seca 14Kg LG Top Gun WD1014RDA7 Aço Escovado - Água Quente com 12 Programas de Lavagem 220V""","""LG""","""""",None,ed
6365562,"""Lava e Seca Midea Acqua Branca 8 kg 220V  LSA082""","""MIDEA""","""""",None,ed
7150420,"""Lava e seca lg titan aço escovado 16 kg 220v - wd1316ada7""","""LG""","""Lg""",None,ed
7092428,"""Lava e seca lg titan aço escovado 16 kg 110v - wd1316ad7""","""LG""","""Lg""",None,ed
6670933,"""Lava e seca lg prime touch led 8,5kg aço escovado 220v - wd1485ata7b""","""LG""","""""",None,ed
6007506,"""Lava e seca 8,5kg lg direct drive wd1485ata7b aço escovado - água quente com 14 programas de lavagem 220v""","""LG""","""""",None,ed
6030574,"""Lava e seca 14kg lg top gun wd1014rwa branca - água quente com 12 programas de lavagem 220v""","""LG""","""Lg""",None,ed
6197964,"""Lava e Seca Acqua Branca com Modo Eco Rápido 10,1 kg LSA10 - Midea""","""Midea""","""""",None,ed
6384725,"""Lava e Seca 10,1Kg Acqua LSA10 Branca Midea""","""Midea""","""""",None,ed
7411845,"""Lavadora Special Lava e Seca Easy Dry 7kg Mueller Branco""","""Mueller""","""""",None,ed
7683235,"""Lavadora Special Lava e Seca Easy Dry 7kg Mueller Branco""","""Mueller""","""""",None,ed
6829526,"""Lavadora de Roupas Semi-Automática Colormaq 7Kg Branca""","""Colormaq""","""""",None,ed
7119870,"""Lavadora  Premium Lava E Seca 7 Kg Seca 4 Kg Special Mueller""","""Mueller""","""""",None,ed
7035535,"""Lavadora Secadora De Roupa Popmatic 6Kg 550W 220V Branca Mueller""","""Mueller""","""""",None,ed
6374698,"""Lavadora de Roupas Automática 15KG, 5 Programas de Lavagem Colormaq - LCA15""","""COLORMAQ""","""""",None,ed
7166309,"""Lavadora Secadora De Roupa Vip 7Kg 350W 110V Branca Mueller""","""Mueller""","""""",None,ed
7233030,"""Lavadora Secadora De Roupa 7Kg 350W 220V Branca Mueller""","""Mueller""","""""",None,ed
7376567,"""Lavadora Secadora De Roupa 7Kg 350W 110V Branca Mueller""","""Mueller""","""""",None,ed
7302716,"""Lavadora Secadora De Roupa Vip 7Kg 350W 220V Branca Mueller""","""Mueller""","""""",None,ed
7639505,"""Lava e Seca 8,5Kg LG Direct Drive WD1485AT7B Aço Escovado - Água Quente com 14 Programas de Lavagem 110V""","""LG""","""""",None,ed
7536675,"""Lava e Seca 10,2Kg LG Direct Drive WD1412RT7B Aço Escovado - Água Quente com 14 Programas de Lavagem 110V""","""LG""","""""",None,ed
6060365,"""Lava e Seca 11Kg LG Prime Touch 11Kg 127V Aço Escovado 14 Programas de Lavagem""","""LG""","""""",None,ed
6249176,"""Lava e Seca 11Kg LG Prime Touch 11Kg 220V Aço Escovado 14 Programas de Lavagem""","""LG""","""""",None,ed
7787728,"""Lava e Seca 10,2 kg Touch Led - WD1412RT - LG""","""LG Linha Branca""","""Lg linha branca""",None,ed
7064758,"""Lava e Seca Samsung WD6000J 220V 10.2Kg Branca""","""Samsung""","""""",None,ed
7171436,"""Lava E Seca Midea Branca 10kg 220v""","""Midea""","""""",None,ed
