Code,Title,Brand,Model,Price,Category
7448996,"""Refrigerador Compacto Eletromecânico Consul 80L 110V""","""Consul""","""""",None,ed
7481585,"""Freezer Horizontal 519 Litros Consul CHB53C""","""Consul""","""""",None,ed
7551153,"""Refrigerador 2 Portas 427L Frost Free Electrolux DF51X""","""Electrolux""","""""",None,ed
7789551,"""Refrigerador 2 Portas 598L Frost Free DB83 Electrolux""","""Electrolux""","""""",None,ed
7548795,"""Refrigerador 2 Portas 553L Frost Free DF80 Electrolux""","""Electrolux""","""""",None,ed
2151311,"""Geladeira/Refrigerador Brastemp Frost Free Inox""","""brastemp""","""Inverse 422L Viva! BRE51NKANA""",None,ed
7751247,"""Mini Geladeira BlackDecker 24L 12V de Viagem""","""Black  Decker""","""Black  Decker""",None,ed
6623774,"""Geladeira/Refrigerador Electrolux Frost Free 2 Portas DFN42 370 Litros Branco 220V""","""Electrolux""","""""",None,ed
9179868,"""Mini Geladeira Transparente 15L - Mobicool""","""Mobicool""","""Mobicool""",None,ed
8531071,"""Mini Geladeira Portátil Multilaser TV004 110V 4L""","""Multilaser""","""Multilaser""",None,ed
8540722,"""Mini Geladeira Portátil Multilaser TV005 220V 4L""","""Multilaser""","""Multilaser""",None,ed
9233527,"""Cervejeira Venax 1 Porta 220V Adesivado Cerveja - Venax""","""Venax""","""Venax""",None,ed
2151311,"""Geladeira/Refrigerador Brastemp Frost Free Inox""","""brastemp""","""Inverse 422L Viva! BRE51NKANA""",None,ed
7713749,"""Geladeira Portátil Resfriar 31L""","""Resfriar""","""""",None,ed
6025792,"""Refrigerador Consul Facilite 1 Porta 342 Litros Branco Frost Free 127v""","""Consul""","""""",None,ed
6360674,"""Geladeira/Refrigerador Esmaltec 1 Porta Cycle Defrost ROC 31 245 Litros Branco""","""Esmaltec""","""""",None,ed
6808631,"""Geladeira/Refrigerador Panasonic Frost Free 2 Portas NR BT47BD2XA 435 Litros Aço Escovado""","""Panasonic""","""""",None,ed
6666959,"""Geladeira/Refrigerador Esmaltec 2 Portas Cycle Defrost RCD34 276 Litros Preto""","""Esmaltec""","""""",None,ed
6611807,"""Geladeira/Refrigerador Electrolux Frost Free 2 Portas DFN39 310 Litros Branco""","""Electrolux""","""""",None,ed
6327618,"""Geladeira/Refrigerador Esmaltec 2 Portas Cycle Defrost RCD38 306 Litros Branco""","""Esmaltec""","""""",None,ed
7316874,"""Refrigerador Degelo Prático  240L Branco (RE35)""","""Electrolux""","""Electrolux""",None,ed
6579003,"""Expositor/Refrigerador Vertical Porta de Vidro para Bebidas 350 Litros VB40RE com Controlador Eletrônico - Metalfrio""","""Metalfrio""","""""",None,ed
6732717,"""Geladeira/Refrigerador Electrolux 2 Portas Cycle Defrost DC44 362 Litros Branco 220v""","""Electrolux""","""""",None,ed
7510619,"""Mini Geladeira Branca 04L 110V TV010 Multilaser""","""Multilaser""","""""",None,ed
5135416,"""Refrigerador Electrolux 1 Porta 240L Cycle Defrost 127V - RE31""","""Electrolux""","""""",None,ed
5258108,"""Refrigerador Electrolux 2 Portas 362 Litros Branco Cycle Defrost 127v""","""Electrolux""","""""",None,ed
